retardo_ms,timeout_s,repeticion,codigo_http,latencia_ms
0,2.0,1,201,279.1
0,2.0,1,201,364.5
0,2.0,1,201,251.2
0,2.0,1,201,1139.9
0,2.0,1,201,291.3
0,2.0,1,201,1130.2
0,2.0,1,201,1051.8
0,2.0,1,201,549.4
0,2.0,1,201,951.3
0,2.0,1,201,1069.2
0,2.0,1,201,1215.1
0,2.0,1,201,473.8
0,2.0,1,201,506.6
0,2.0,1,201,538.4
0,2.0,1,201,328.7
0,2.0,1,201,246.9
0,2.0,1,201,1170.3
0,2.0,1,201,591.4
0,2.0,1,201,236.5
0,2.0,1,201,388.0
0,2.0,1,201,326.1
0,2.0,1,201,480.7
0,2.0,1,201,248.1
0,2.0,1,201,1224.5
0,2.0,1,201,251.9
0,2.0,1,201,740.6
0,2.0,1,201,367.5
0,2.0,1,201,631.9
0,2.0,1,201,1135.6
0,2.0,1,201,468.0
0,2.0,1,201,243.5
0,2.0,1,201,262.0
0,2.0,1,201,304.5
0,2.0,1,201,307.3
0,2.0,1,201,545.1
0,2.0,1,201,396.2
0,2.0,1,201,323.8
0,2.0,1,201,870.6
0,2.0,1,201,1047.7
0,2.0,1,201,317.1
0,2.0,1,201,506.2
0,2.0,1,201,525.8
0,2.0,1,201,267.7
0,2.0,1,201,199.6
0,2.0,1,201,1021.9
0,2.0,1,201,517.2
0,2.0,1,201,908.6
0,2.0,1,201,182.9
0,2.0,1,201,807.0
0,2.0,1,201,161.4
0,2.0,1,201,106.0
0,2.0,1,201,164.1
0,2.0,1,201,120.6
0,2.0,1,201,174.3
0,2.0,1,201,1040.2
0,2.0,1,201,721.2
0,2.0,1,201,304.9
0,2.0,1,201,163.7
0,2.0,1,201,554.8
0,2.0,1,201,197.2
0,2.0,1,201,272.7
0,2.0,1,201,273.5
0,2.0,1,201,624.8
0,2.0,1,201,468.7
0,2.0,1,201,805.3
0,2.0,1,201,657.1
0,2.0,1,201,580.6
0,2.0,1,201,155.3
0,2.0,1,201,166.1
0,2.0,1,201,166.7
0,2.0,1,201,219.7
0,2.0,1,201,253.9
0,2.0,1,201,205.1
0,2.0,1,201,794.1
0,2.0,1,201,190.1
0,2.0,1,201,169.5
0,2.0,1,201,193.7
0,2.0,1,201,248.4
0,2.0,1,201,315.8
0,2.0,1,201,141.7
0,2.0,1,201,696.3
0,2.0,1,201,738.8
0,2.0,1,201,622.3
0,2.0,1,201,130.3
0,2.0,1,201,153.5
0,2.0,1,201,355.6
0,2.0,1,201,143.2
0,2.0,1,201,111.0
0,2.0,1,201,159.2
0,2.0,1,201,255.8
0,2.0,1,201,195.1
0,2.0,1,201,180.9
0,2.0,1,201,167.4
0,2.0,1,201,114.6
0,2.0,1,201,193.6
0,2.0,1,201,147.8
0,2.0,1,201,128.6
0,2.0,1,201,239.9
0,2.0,1,201,384.7
0,2.0,1,201,172.5
0,2.0,1,201,246.0
0,2.0,1,201,176.4
0,2.0,1,201,615.8
0,2.0,1,201,255.6
0,2.0,1,201,151.6
0,2.0,1,201,304.6
0,2.0,1,201,233.9
0,2.0,1,201,171.3
0,2.0,1,201,225.5
0,2.0,1,201,505.7
0,2.0,1,201,164.4
0,2.0,1,201,120.8
0,2.0,1,201,129.9
0,2.0,1,201,224.6
0,2.0,1,201,257.7
0,2.0,1,201,347.0
0,2.0,1,201,289.6
0,2.0,1,201,276.9
0,2.0,1,201,554.3
0,2.0,1,201,331.4
0,2.0,1,201,438.6
0,2.0,1,201,229.0
0,2.0,1,201,267.4
0,2.0,1,201,132.5
0,2.0,1,201,201.7
0,2.0,1,201,108.8
0,2.0,1,201,175.4
0,2.0,1,201,158.8
0,2.0,1,201,119.8
0,2.0,1,201,190.7
0,2.0,1,201,182.8
0,2.0,1,201,133.3
0,2.0,1,201,246.6
0,2.0,1,201,257.7
0,2.0,1,201,225.7
0,2.0,1,201,94.4
0,2.0,1,201,144.0
0,2.0,1,201,201.4
0,2.0,1,201,197.0
0,2.0,1,201,130.8
0,2.0,1,201,101.2
0,2.0,1,201,74.4
0,30.0,1,201,141.9
0,30.0,1,201,213.4
0,30.0,1,201,308.7
0,30.0,1,201,226.8
0,30.0,1,201,859.7
0,30.0,1,201,272.5
0,30.0,1,201,220.6
0,30.0,1,201,261.9
0,30.0,1,201,857.5
0,30.0,1,201,337.7
0,30.0,1,201,249.3
0,30.0,1,201,566.6
0,30.0,1,201,264.0
0,30.0,1,201,1042.1
0,30.0,1,201,1143.2
0,30.0,1,201,421.6
0,30.0,1,201,951.7
0,30.0,1,201,250.3
0,30.0,1,201,967.0
0,30.0,1,201,507.2
0,30.0,1,201,380.0
0,30.0,1,201,482.5
0,30.0,1,201,1048.2
0,30.0,1,201,360.0
0,30.0,1,201,319.5
0,30.0,1,201,278.5
0,30.0,1,201,1022.2
0,30.0,1,201,224.3
0,30.0,1,201,820.8
0,30.0,1,201,269.2
0,30.0,1,201,317.0
0,30.0,1,201,224.3
0,30.0,1,201,327.5
0,30.0,1,201,232.5
0,30.0,1,201,215.8
0,30.0,1,201,580.0
0,30.0,1,201,485.4
0,30.0,1,201,227.3
0,30.0,1,201,350.5
0,30.0,1,201,412.8
0,30.0,1,201,425.4
0,30.0,1,201,901.5
0,30.0,1,201,335.3
0,30.0,1,201,1225.5
0,30.0,1,201,580.2
0,30.0,1,201,377.2
0,30.0,1,201,322.0
0,30.0,1,201,996.0
0,30.0,1,201,426.3
0,30.0,1,201,307.1
0,30.0,1,201,318.2
0,30.0,1,201,150.4
0,30.0,1,201,306.0
0,30.0,1,201,757.9
0,30.0,1,201,616.5
0,30.0,1,201,872.8
0,30.0,1,201,310.6
0,30.0,1,201,349.8
0,30.0,1,201,160.0
0,30.0,1,201,144.9
0,30.0,1,201,613.0
0,30.0,1,201,112.2
0,30.0,1,201,475.5
0,30.0,1,201,140.9
0,30.0,1,201,247.0
0,30.0,1,201,291.3
0,30.0,1,201,134.0
0,30.0,1,201,88.5
0,30.0,1,201,185.4
0,30.0,1,201,141.3
0,30.0,1,201,279.1
0,30.0,1,201,549.5
0,30.0,1,201,125.4
0,30.0,1,201,141.8
0,30.0,1,201,204.7
0,30.0,1,201,421.6
0,30.0,1,201,112.1
0,30.0,1,201,285.5
0,30.0,1,201,552.1
0,30.0,1,201,631.3
0,30.0,1,201,303.2
0,30.0,1,201,146.8
0,30.0,1,201,184.9
0,30.0,1,201,85.3
0,30.0,1,201,119.9
0,30.0,1,201,254.9
0,30.0,1,201,167.8
0,30.0,1,201,198.3
0,30.0,1,201,299.1
0,30.0,1,201,113.6
